Dijkstra sum, dijkstra time, spectral sum, spectral time
49.2203,1.51e-05,49.2203,0.0019613
63.2203,2.45e-05,63.2203,0.0019392
65.2203,2.01e-05,65.2203,0.0026199
56.2203,1.79e-05,56.2203,0.0008949
70.2203,4.22e-05,70.2203,0.0018387
60.2203,1.78e-05,60.2203,0.0008675
60.2203,5.49e-05,61.1994,0.0018357
67.2203,2.28e-05,67.2203,0.0015931
62.2203,2.1e-05,62.2203,0.0016577
75.2203,2.6e-05,75.2203,0.0013772
